t_s,ratio
0.000000,0.015625
0.059646,0.031250
0.061540,0.046875
0.067118,0.062500
0.169417,0.078125
0.169904,0.093750
0.214214,0.109375
0.516045,0.125000
0.525773,0.140625
0.527707,0.156250
0.568457,0.171875
0.572329,0.187500
0.573781,0.203125
0.575761,0.218750
0.612195,0.234375
0.614046,0.250000
0.615203,0.265625
0.616584,0.281250
0.616992,0.296875
0.620212,0.312500
0.646200,0.328125
0.650191,0.343750
0.651153,0.359375
0.652145,0.375000
0.657952,0.390625
0.659109,0.406250
0.660848,0.421875
0.661817,0.437500
0.662079,0.453125
0.701365,0.468750
0.744277,0.484375
0.750283,0.500000
0.751580,0.515625
0.751749,0.531250
0.751782,0.546875
0.785002,0.562500
0.786674,0.578125
0.787824,0.593750
0.788987,0.609375
0.789394,0.625000
0.791051,0.640625
0.791999,0.656250
0.792212,0.671875
0.792258,0.687500
0.793311,0.703125
0.793892,0.718750
0.795135,0.734375
0.796255,0.750000
0.796890,0.765625
0.797235,0.781250
0.797471,0.796875
0.830790,0.812500
0.831642,0.828125
0.832139,0.843750
0.832376,0.859375
0.833048,0.875000
0.834252,0.890625
0.834375,0.906250
0.835375,0.921875
0.835754,0.937500
0.837398,0.953125
0.837564,0.968750
0.868451,0.984375
0.868659,1.000000
