router_id,t_converged_s
1,0.749557
2,0.478993
3,0.566908
4,0.749349
5,0.770315
6,0.682247
7,0.703416
8,0.728787
9,0.687758
10,0.683411
11,0.644564
12,0.621230
13,0.259326
14,0.244516
15,0.520395
16,0.660734
17,0.062265
18,0.684651
19,0.682155
20,0.204162
21,0.748825
22,0.705633
23,0.638876
24,0.341775
25,0.435658
26,0.729286
27,0.490803
28,0.436803
29,0.565658
30,0.656945
31,0.616484
32,0.658992
33,0.650679
34,0.642025
35,0.683508
36,0.564502
37,0.477539
38,0.772113
39,0.776395
40,0.484406
41,0.000000
42,0.244173
43,0.685433
44,0.686066
45,0.706704
46,0.750482
47,0.749587
48,0.750308
49,0.546421
50,0.730584
51,0.730729
52,0.473905
53,0.615848
54,0.664983
55,0.661719
56,0.658888
57,0.685144
58,0.641766
59,0.694036
60,0.651868
61,0.483470
62,0.773600
63,0.777186
64,0.777724
