router_id,t_converged_s
1,1.619000
2,1.261000
3,1.685000
4,0.690000
5,1.705000
6,1.541000
7,1.537000
8,1.663000
9,1.505000
10,1.450000
11,1.574000
12,1.582000
13,1.552000
14,1.701000
15,1.593000
16,1.593000
17,0.034000
18,1.608000
19,1.609000
20,1.552000
21,1.669000
22,1.686000
23,1.606000
24,1.738000
25,1.216000
26,1.256000
27,1.151000
28,1.628000
29,0.665000
30,1.649000
31,0.733000
32,1.634000
33,1.590000
34,1.613000
35,1.444000
36,1.717000
37,1.451000
38,1.534000
39,1.555000
40,1.529000
41,0.000000
42,1.575000
43,1.639000
44,1.633000
45,1.751000
46,1.705000
47,1.757000
48,1.765000
49,1.653000
50,1.651000
51,1.649000
52,1.281000
53,0.608000
54,1.672000
55,1.672000
56,1.678000
57,1.738000
58,1.742000
59,1.746000
60,1.695000
61,1.553000
62,1.546000
63,1.580000
64,1.572000
