t_s,ratio
0.000000,0.015625
0.002000,0.031250
0.064000,0.046875
0.065000,0.062500
0.067000,0.078125
0.084000,0.093750
0.099000,0.109375
0.104000,0.125000
0.109000,0.140625
0.128000,0.156250
0.132000,0.171875
0.136000,0.187500
0.141000,0.203125
0.141000,0.218750
0.144000,0.234375
0.145000,0.250000
0.152000,0.265625
0.164000,0.281250
0.168000,0.296875
0.168000,0.312500
0.171000,0.328125
0.171000,0.343750
0.172000,0.359375
0.173000,0.375000
0.176000,0.390625
0.178000,0.406250
0.179000,0.421875
0.180000,0.437500
0.183000,0.453125
0.183000,0.468750
0.185000,0.484375
0.187000,0.500000
0.188000,0.515625
0.189000,0.531250
0.190000,0.546875
0.193000,0.562500
0.196000,0.578125
0.198000,0.593750
0.199000,0.609375
0.201000,0.625000
0.201000,0.640625
0.203000,0.656250
0.205000,0.671875
0.207000,0.687500
0.208000,0.703125
0.209000,0.718750
0.210000,0.734375
0.211000,0.750000
0.212000,0.765625
0.212000,0.781250
0.212000,0.796875
0.213000,0.812500
0.213000,0.828125
0.215000,0.843750
0.215000,0.859375
0.218000,0.875000
0.218000,0.890625
0.220000,0.906250
0.220000,0.921875
0.221000,0.937500
0.225000,0.953125
0.228000,0.968750
0.228000,0.984375
0.228000,1.000000
